  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
            181  3.87735E+03 -3.38916E+03  2.43621E+04 -3.38916E+03  2.43621E+04  1.37789E-01  0.00000E+00
            182 -3.87735E+03 -3.38916E+03 -2.43621E+04 -3.38916E+03 -2.43621E+04  1.37789E-01  0.00000E+00
            183  3.94018E+03 -3.50197E+03  2.47569E+04 -3.50197E+03  2.47569E+04  1.40060E-01  0.00000E+00
            184 -3.94018E+03 -3.50197E+03 -2.47569E+04 -3.50197E+03 -2.47569E+04  1.40060E-01  0.00000E+00
            185  4.01443E+03 -3.63780E+03  2.52234E+04 -3.63780E+03  2.52234E+04  1.42746E-01  0.00000E+00
            186 -4.01443E+03 -3.63780E+03 -2.52234E+04 -3.63780E+03 -2.52234E+04  1.42746E-01  0.00000E+00
            187  4.10091E+03 -3.79948E+03  2.57668E+04 -3.79948E+03  2.57668E+04  1.45879E-01  0.00000E+00
            188 -4.10091E+03 -3.79948E+03 -2.57668E+04 -3.79948E+03 -2.57668E+04  1.45879E-01  0.00000E+00
            189  4.20014E+03 -3.98965E+03  2.63903E+04 -3.98965E+03  2.63903E+04  1.49480E-01  0.00000E+00
            190 -4.20014E+03 -3.98965E+03 -2.63903E+04 -3.98965E+03 -2.63903E+04  1.49480E-01  0.00000E+00
            191  4.31232E+03 -4.21063E+03  2.70951E+04 -4.21063E+03  2.70951E+04  1.53559E-01  0.00000E+00
            192 -4.31232E+03 -4.21063E+03 -2.70951E+04 -4.21063E+03 -2.70951E+04  1.53559E-01  0.00000E+00
            193  4.43720E+03 -4.46418E+03  2.78797E+04 -4.46418E+03  2.78797E+04  1.58109E-01  0.00000E+00
            194 -4.43720E+03 -4.46418E+03 -2.78797E+04 -4.46418E+03 -2.78797E+04  1.58109E-01  0.00000E+00
            195  4.57412E+03 -4.75141E+03  2.87400E+04 -4.75141E+03  2.87400E+04  1.63110E-01  0.00000E+00
            196 -4.57412E+03 -4.75141E+03 -2.87400E+04 -4.75141E+03 -2.87400E+04  1.63110E-01  0.00000E+00
            197  4.72203E+03 -5.07267E+03  2.96694E+04 -5.07267E+03  2.96694E+04  1.68528E-01  0.00000E+00
            198 -4.72203E+03 -5.07267E+03 -2.96694E+04 -5.07267E+03 -2.96694E+04  1.68528E-01  0.00000E+00
