time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
0.7585284281,-1.549872847,-1.147405792,-0.02135282304,-0.5530185091
0.762541806,-2.354214451,-0.5440813579,-0.4370049236,0.07002249502
0.7665551839,-2.860529312,-1.107765946,-0.7373135813,-0.5263345393
0.7705685619,-3.011461035,-1.449091108,-1.130932057,-0.9173434137
0.7745819398,-2.793733914,-2.030166699,-1.280957755,-1.558217299
0.7785953177,-2.239093302,-1.194910138,-0.8624123834,-0.7196810504
0.7826086957,-1.419894751,-0.3596503197,-0.1462735317,0.0224928526
0.7866220736,-0.4416611315,0.2052346926,0.667406503,0.6510963254
0.7906354515,0.53657302,1.681422105,1.481086864,1.977453561
0.7946488294,1.514806036,1.456788016,1.986701822,2.104438676
0.7986622074,2.251680314,2.321100268,2.293461182,2.763660583
0.8026755853,2.703989182,1.506609611,2.600220541,2.272529271
0.8066889632,2.820735291,3.878865865,2.906979901,4.023628303
0.8107023411,2.592519145,1.685359785,2.558899912,2.249277429
0.8147157191,2.052050002,1.751610243,2.126563701,2.677054933
0.818729097,1.269554636,1.078260315,1.482374853,2.310112689
0.8227424749,0.3539975018,-0.8845664572,0.2616793702,1.113333859
0.8267558528,-0.5615596326,-1.404991438,-0.9590159824,-1.238025766
0.8307692308,-1.477114446,-1.925411209,-1.931386246,-1.640504188
0.8347826087,-2.151391405,-3.189942915,-2.798404909,-2.863122549
0.8387959866,-2.55420925,-3.831051732,-3.421495464,-3.442250476
0.8428093645,-2.640392473,-3.991590754,-3.681640167,-3.561740162
0.8468227425,-2.404002395,-4.152122897,-3.563808346,-3.681222903
0.8508361204,-1.878413364,-3.398886669,-2.976939184,-2.878005551
0.8548494983,-1.131717709,-2.418305023,-2.106030562,-1.861622461
0.8588628763,-0.2753682681,-1.598272939,-1.235121198,-1.013589833
0.8628762542,0.5809811725,-0.3952940281,-0.3642142661,0.2322393652
0.8668896321,1.437330613,-0.3458685926,0.05926072284,0.2755419328
0.87090301,2.053580808,-0.1649640641,0.4827367069,0.4469791332
0.874916388,2.411084255,1.010461907,1.13282062,1.642471646
0.8789297659,2.470040567,0.6578426001,2.067380942,1.315486787
0.8829431438,2.22754413,4.702856049,2.652449261,5.46557688
0.8869565217,1.717403022,-0.153321094,1.303905803,0.5460101131
0.8909698997,1.005545033,-0.5319612976,-0.0446507961,0.165527904
0.8949832776,0.2050794032,-1.341796994,-0.9091665921,-0.6472817831
0.8989966555,-0.5953869213,-1.851898772,-1.773678592,-1.142441705
0.9030100334,-1.395853196,-3.617385807,-2.638190488,-2.916336056
0.9070234114,-1.95833203,-3.518204931,-3.000728046,-2.803633362
0.9110367893,-2.274416076,-3.547985737,-2.833084955,-2.8417495
0.9150501672,-2.30918637,-2.465571674,-2.518714941,-1.750372474
0.9190635452,-2.062419361,-3.279542634,-2.378568157,-2.585665421
0.9230769231,-1.568154638,-2.331979451,-2.015293791,-1.623026595
0.927090301,-0.8901319249,-1.954769632,-1.652019006,-1.259945679
0.9311036789,-0.1423780265,-2.324029491,-0.9495394868,-1.657648622
0.9351170569,0.6053760759,0.6909838151,0.4445397538,1.403044365
0.9391304348,1.353128974,1.085430712,1.513651917,1.790648205
0.9431438127,1.865803385,2.06813556,1.884491896,2.78043294
0.9471571906,2.144085459,0.7259373627,1.814867781,1.408937337
0.9511705686,2.157442572,1.9155334,1.933486768,2.600107826
0.9551839465,1.908037289,1.701254022,1.718617235,2.356108928
0.9591973244,1.429980235,0.175527978,1.151351541,0.7758842157
0.9632107023,0.7415898273,0.9400162365,0.7707368472,1.536296916
0.9672240803,0.05319792453,-0.4286042227,0.2145952203,0.1283769068
0.9712374582,-0.6743564294,-0.3687874772,-0.5246690485,0.1738071463
0.9752508361,-1.309426453,-2.350919291,-1.422003625,-1.673220245
0.979264214,-1.77606125,-2.274663324,-1.954274521,-1.810488616
0.983277592,-2.019867057,-2.398732164,-2.186760053,-1.947745158
0.9872909699,-2.014361621,-2.944850811,-2.116815292,-2.51900358
0.9913043478,-1.763760318,-1.693398694,-1.413515661,-1.255614371
0.9953177258,-1.302106375,-0.441944509,-0.6025906994,0.007776948702
0.9993311037,-0.6510544507,-0.7155518937,-0.05650042594,-0.2839830439
1.003344482,-2.110220817e-06,0.3936956525,0.7361818982,0.8328383355
1.00735786,0.6787327866,1.657142881,1.528861282,2.090841717
1.011371237,1.265138874,1.69141036,1.819363061,2.103982729
1.015384615,1.689209332,1.557443275,1.683476203,1.954939649
1.019397993,1.901616247,0.7881743956,1.637302576,1.16082942
1.023411371,1.879553308,2.280372109,1.917660145,2.666281224
1.027424749,1.629071416,1.61304126,1.827432742,1.96743047
1.031438127,1.183884834,1.106727948,1.513878575,1.434361213
1.035451505,0.5685821529,1.345241948,1.200322984,1.64217855
1.039464883,-0.04672055732,0.6334369361,0.4467768041,0.8830156806
1.043478261,-0.6794649203,-1.349343181,-0.4840431707,-1.166148673
1.047491639,-1.220490549,-0.6684906241,-0.8666056248,-0.512361094
1.051505017,-1.605233039,-1.395763834,-1.001401331,-1.299195915
1.055518395,-1.789109752,-0.7648622613,-0.9582179676,-0.7162492649
1.059531773,-1.752617061,-1.238861263,-0.9150320347,-1.282638198
1.063545151,-1.503339163,-0.3025770144,-0.770947735,-0.4107418215
1.067558528,-1.074657234,-0.8752335575,-0.6268617918,-1.056668249
1.071571906,-0.493550327,-0.1116038908,-0.267444306,-0.3512109717
1.075585284,0.08755663554,0.4266657365,0.349807803,0.1225048997
1.079598662,0.6770704646,1.272804906,0.9670605591,0.9026611642
1.08361204,1.175758833,1.73271407,1.618915193,1.301916781
1.087625418,1.5242169,3.03758467,2.022046867,2.55455263
